what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366041794419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366041805231
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1366041845430
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366041851947
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1366041858725
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366041861753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366041866388
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366041866836
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366041869226
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366041869349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366041891558
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366041895917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366041898035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366041914555
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366041935559
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1366041952571
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366041953189
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366041954815
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1366041965845
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1366041966047
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1366041966115
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1366041966191
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1366041987445
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1366041991571
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1366041992617
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366041995343
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366042000489
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366042008248
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366042012010
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366042015433
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366042015800
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1366042020225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366042020578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366042027267
